"t","Psi","X","Mu","sample"
1.45671206202272,56,53,200,"82"
1.46790043175426,56,52,201,"82"
1.47128259836268,56,53,201,"82"
1.47391697413368,56,54,201,"82"
1.47423740172768,56,53,202,"82"
1.47733265650984,56,54,202,"82"
1.47924856318205,56,55,202,"82"
1.48674854850331,56,56,202,"82"
1.48708755092856,56,55,203,"82"
1.4871460297793,56,54,204,"82"
1.48907331694767,56,53,205,"82"
1.49045653878924,56,52,206,"82"
1.4907589525951,57,51,206,"82"
1.49279658292971,57,50,207,"82"
1.49361087009055,57,49,208,"82"
1.49457408636682,57,48,209,"82"
1.49733243445128,57,49,209,"82"
1.49767335128079,57,48,210,"82"
1.49919532846795,57,47,211,"82"
1.49989944144498,57,46,212,"82"
1.50074512581573,58,45,212,"82"
1.50692827609605,58,46,212,"82"
1.50706706194065,58,45,213,"82"
1.51176584345795,58,44,214,"82"
1.51349111586202,58,45,214,"82"
1.51455336680139,58,46,214,"82"
1.51997026398735,58,45,215,"82"
1.53329597155582,58,44,216,"82"
1.53476750693049,59,43,216,"82"
1.53633296438832,59,44,216,"82"
1.54086742497376,60,43,216,"82"
1.5415668600289,61,42,216,"82"
1.54172633015513,62,41,216,"82"
1.54257824881519,62,40,217,"82"
1.54412677247652,62,39,218,"82"
1.54742899324711,62,40,218,"82"
1.54856742652663,63,39,218,"82"
1.55374831921446,63,38,219,"82"
1.56899331336749,63,37,220,"82"
1.56937486240396,63,36,221,"82"
1.57726124833296,63,35,222,"82"
1.58820046899191,63,34,223,"82"
1.58846699226384,63,33,224,"82"
1.59386973059401,63,32,225,"82"
1.60147454543006,64,31,225,"82"
1.60281120926164,64,30,226,"82"
1.61858768678649,64,31,226,"82"
1.62052733554192,64,32,226,"82"
1.63215429380877,64,31,227,"82"
1.63329110128573,64,32,227,"82"
1.63743363607437,64,33,227,"82"
1.63792916041596,65,32,227,"82"
1.6397398078408,65,31,228,"82"
1.64245264141857,65,30,229,"82"
1.64806691822509,66,29,229,"82"
1.65120419524796,67,28,229,"82"
1.65187033314976,67,29,229,"82"
1.6589461420896,67,28,230,"82"
1.6627307286257,68,27,230,"82"
1.66992247384564,68,26,231,"82"
1.67363974850393,68,27,231,"82"
1.67587135979342,69,26,231,"82"
1.67663403853593,69,25,232,"82"
1.68279671944919,69,26,232,"82"
1.68441059905381,69,25,233,"82"
1.69906348273479,69,24,234,"82"
1.69986535388759,69,23,235,"82"
1.7140512012005,70,22,235,"82"
1.72548694151467,70,23,235,"82"
1.73552346004401,70,22,236,"82"
1.74253405915176,70,23,236,"82"
1.74999210785906,70,22,237,"82"
1.75689853872038,70,23,237,"82"
1.75936715310339,70,22,238,"82"
1.76559760774535,70,23,238,"82"
1.76881044292096,70,24,238,"82"
1.78752590072179,71,23,238,"82"
1.78884754905804,71,24,238,"82"
1.79374713781208,71,23,239,"82"
1.80988490176207,71,22,240,"82"
1.81157066642274,71,23,240,"82"
1.81479385067327,71,22,241,"82"
1.81543893042604,71,21,242,"82"
1.8161087770524,71,20,243,"82"
1.82288160573021,71,21,243,"82"
1.8251400119669,71,22,243,"82"
1.83098032627742,71,23,243,"82"
1.8337585499,71,24,243,"82"
1.83803510941424,71,23,244,"82"
1.83816456429017,72,22,244,"82"
1.84226222337187,72,21,245,"82"
1.8470469154758,72,22,245,"82"
1.84759159524094,72,23,245,"82"
1.84916190820066,72,24,245,"82"
1.85080163846724,73,23,245,"82"
1.85124072819646,73,22,246,"82"
1.85292906835923,73,23,246,"82"
1.85671970769737,73,24,246,"82"
1.88694953519802,73,23,247,"82"
1.89188801921587,73,24,247,"82"
1.89281078461385,73,25,247,"82"
1.89623245044306,73,24,248,"82"
1.90816120012898,73,23,249,"82"
1.91308252393467,73,22,250,"82"
1.91679006705396,73,23,250,"82"
1.920672334856,73,24,250,"82"
1.92266005885252,73,25,250,"82"
1.92525917271062,73,24,251,"82"
1.93639033584928,73,25,251,"82"
1.95388760100736,73,26,251,"82"
1.95854445357995,73,25,252,"82"
1.97749198795547,73,26,252,"82"
1.99953961642298,73,25,253,"82"
2.00858047385219,73,24,254,"82"
2.01060040820106,74,23,254,"82"
2.0213662776758,74,22,255,"82"
2.02656268885222,74,23,255,"82"
2.02789207901814,74,24,255,"82"
2.02892686793747,74,25,255,"82"
2.03231490928365,74,26,255,"82"
2.03497463601617,75,25,255,"82"
2.03530301876954,75,26,255,"82"
2.03574566053291,75,25,256,"82"
2.03617433908686,75,24,257,"82"
2.04113526265139,75,23,258,"82"
2.04674029954376,76,22,258,"82"
2.04965355908794,76,21,259,"82"
2.05250032371804,76,20,260,"82"
2.05253957765009,76,21,260,"82"
2.05816851034032,77,20,260,"82"
2.07337078379839,77,21,260,"82"
2.07562059159107,77,20,261,"82"
2.09257113390218,77,19,262,"82"
2.1081204426035,77,20,262,"82"
2.11875564781119,78,19,262,"82"
2.12519873518818,78,18,263,"82"
2.13053619129483,78,17,264,"82"
2.13695630170547,78,18,264,"82"
2.13808717988046,79,17,264,"82"
2.1438958379066,80,16,264,"82"
2.14814450163219,81,15,264,"82"
2.15550145304831,81,16,264,"82"
2.16734242677939,81,17,264,"82"
2.17438258349442,82,16,264,"82"
2.1753920183122,83,15,264,"82"
2.21042275749595,83,16,264,"82"
2.21393924028053,83,15,265,"82"
2.24332648580653,83,14,266,"82"
2.24488508268037,83,13,267,"82"
2.2527501181353,83,12,268,"82"
2.27954204000307,83,11,269,"82"
2.2945133870089,83,12,269,"82"
2.29585969585408,83,13,269,"82"
2.30671114512412,83,12,270,"82"
2.32050998232986,83,11,271,"82"
2.35547576530659,83,10,272,"82"
2.36088465346339,83,9,273,"82"
2.37598699675843,83,8,274,"82"
2.39227871223084,84,7,274,"82"
2.40342042365451,84,6,275,"82"
2.46208707553031,84,7,275,"82"
2.48227716096827,84,8,275,"82"
2.53114205917634,84,9,275,"82"
2.54909601343057,85,8,275,"82"
2.56677859430224,85,7,276,"82"
2.59911139092764,85,6,277,"82"
2.60448949178915,85,7,277,"82"
2.62255395054426,85,8,277,"82"
2.63714849200142,85,9,277,"82"
2.63801032822433,85,10,277,"82"
2.64937952863909,86,9,277,"82"
2.65164350939087,86,10,277,"82"
2.69985565654388,87,9,277,"82"
2.72209711797643,87,8,278,"82"
2.74863862773437,87,7,279,"82"
2.76715270212799,87,8,279,"82"
2.81864536675449,87,7,280,"82"
2.84578448810696,87,8,280,"82"
2.86299526385686,87,9,280,"82"
2.86733674022193,87,8,281,"82"
2.8757480099785,87,7,282,"82"
2.90826404365841,87,8,282,"82"
2.92821132450838,87,9,282,"82"
2.93104443678604,87,8,283,"82"
2.93952530688231,87,9,283,"82"
2.95230139904992,88,8,283,"82"
3.01378464519134,88,9,283,"82"
3.05396565901765,88,10,283,"82"
3.06673519794581,88,9,284,"82"
3.07471252711057,88,10,284,"82"
3.07874610648761,88,9,285,"82"
3.09717462399177,88,8,286,"82"
3.0987228804767,88,9,286,"82"
3.10937611659372,88,8,287,"82"
3.11769671531187,88,9,287,"82"
3.11775379921391,88,10,287,"82"
3.11836476014954,88,9,288,"82"
3.11998983991599,88,8,289,"82"
3.14260110742631,88,7,290,"82"
3.16048592866886,88,6,291,"82"
3.19438424268698,88,7,291,"82"
3.23259022678784,89,6,291,"82"
3.23693871107101,89,7,291,"82"
3.24562109682929,89,8,291,"82"
3.28883685386327,89,9,291,"82"
3.31096927409076,89,10,291,"82"
3.33657166030178,89,9,292,"82"
3.34176461847386,89,8,293,"82"
3.3606481525248,89,7,294,"82"
3.41879477825132,89,6,295,"82"
3.46785746867961,89,7,295,"82"
3.48520911764531,89,8,295,"82"
3.48883229947857,89,7,296,"82"
3.4927271551017,89,8,296,"82"
3.51675922037518,89,9,296,"82"
3.54130376985125,89,10,296,"82"
3.54425041804959,89,9,297,"82"
3.55412565732291,89,8,298,"82"
