"fns_1","fns_2","fns_3","fns_4","fns_5","variable","replicate"
0.809037445795002,1.16191625531213,1.52990671482884,1.72574058277395,2.51435412364207,"R0.1",23
0.216470650042252,0.477898148180712,0.865387321167594,0.973431877064002,1.65668744619522,"R0.2",23
-170.869319204929,-167.486367539923,-167.283783067631,-165.702688505617,-165.247672047872,"posterior",24
0.164114644120321,0.185017832328967,0.195856619576843,0.206566984764486,0.227123479350359,"TTBirthRate.1",24
0.0347719357684802,0.0649388985321606,0.0829291342040879,0.0960082547208322,0.122666802329646,"TTBirthRate.2",24
0.00567154990281903,0.00812287001886126,0.0100939377804908,0.0112044850722441,0.0150413449690659,"TTSamplingRate",24
0.0322945643600152,0.0407458037210474,0.0475654913341566,0.052708422715996,0.0672899324085424,"TTOmegaRate",24
53,78,103,115,170,"HistorySizes",24
1.45165330319842,1.71272000022825,1.87912722162436,2.05112256475013,2.45135394874352,"R0.1",24
0.416738557445607,0.657347422280358,0.795341188242146,0.92212068510423,1.17790293892979,"R0.2",24
-94.8101318165298,-91.8710984634082,-91.261901884846,-90.095705946251,-89.1511609722175,"posterior",25
0.123750953471422,0.157897567562075,0.176088788720691,0.194240533031967,0.230073922880504,"TTBirthRate.1",25
0.0109974602913799,0.049870135303214,0.0813045056765307,0.103102112238109,0.168364393410261,"TTBirthRate.2",25
0.00501661311186028,0.00804961191346314,0.0128434920658528,0.0146046404483854,0.0237760593318087,"TTSamplingRate",25
0.0231339771879939,0.0378169716365954,0.0482342493596148,0.0572450850036796,0.0813011224642858,"TTOmegaRate",25
3,9,20,22,49,"HistorySizes",25
0.997519565210146,1.36188772158791,1.63195457700578,1.87224260429321,2.41491759165864,"R0.1",25
0.170772863344799,0.412217464424642,0.753357344409852,0.872461348360156,1.51315988425841,"R0.2",25
-116.449697680393,-113.427767007568,-113.032471075283,-111.712286505762,-110.954897751775,"posterior",26
0.120800906335304,0.144210254554618,0.162748626994258,0.172490950286853,0.208254653300426,"TTBirthRate.1",26
0.00792683715889192,0.0416575288880892,0.0639403199462271,0.0825622544674834,0.12669537904887,"TTBirthRate.2",26
0.00422521177043899,0.00690242555288764,0.0101840717918712,0.0113260982906258,0.0177797598266473,"TTSamplingRate",26
0.0285035363960195,0.0431959910543784,0.0544759754335773,0.0615078523234807,0.0817292163900745,"TTOmegaRate",26
4,9,20,21,42,"HistorySizes",26
1.00391386671711,1.23791043111487,1.47416132504649,1.59591254451846,2.01704835833042,"R0.1",26
0.099704484704255,0.344017458033608,0.580033552575179,0.700320727595382,1.11030579475994,"R0.2",26
-105.384426942522,-101.854151735107,-101.627211208601,-99.9805328538761,-99.5371620594293,"posterior",27
0.144655444195837,0.176864573353253,0.190678196791399,0.207954497529644,0.241538523205798,"TTBirthRate.1",27
0.0664028154871648,0.0991728819820543,0.122852653602508,0.141450315742158,0.199044947075006,"TTBirthRate.2",27
0.00390627150160017,0.00626220675877577,0.0089259016620479,0.0103073924328052,0.0159713530470274,"TTSamplingRate",27
0.0355551571404653,0.0496717187770224,0.0628532944651952,0.069584685197875,0.0971955353082569,"TTOmegaRate",27
18,34,55,61,102,"HistorySizes",27
1.11025877784668,1.35222905174112,1.61342196987733,1.73915296831833,2.20167895096546,"R0.1",27
0.557983145834114,0.842820988264876,1.04068692980329,1.14842828191869,1.56492133174954,"R0.2",27
-52.7602094650188,-49.2635353540517,-48.9711796036371,-47.3603968246595,-46.854095311593,"posterior",28
0.0609064497232364,0.0840304006431597,0.113104404042606,0.124338620484355,0.171870918668811,"TTBirthRate.1",28
0.0276324437424231,0.051222112243193,0.113954223020078,0.126876309978864,0.24283972276801,"TTBirthRate.2",28
0.0034112527712831,0.00655834455219565,0.0123490798050499,0.0139123200906993,0.026187830582241,"TTSamplingRate",28
0.0134421901957467,0.023043552924386,0.0366289205685341,0.0420675058296571,0.0672756184034131,"TTOmegaRate",28
0,2,11,11,38,"HistorySizes",28
0.506529778914876,0.89542699969509,1.18372108027076,1.35739452625379,1.93907073431775,"R0.1",28
0.225142127211288,0.578912061319472,1.21629300720379,1.39645450758058,2.4795392292265,"R0.2",28
-89.6018270210658,-86.4693934144509,-85.9171395608318,-84.7252909070497,-83.9128748621579,"posterior",29
0.157100358765959,0.175877386806605,0.187730250015245,0.197421284124487,0.219726886218013,"TTBirthRate.1",29
0.0319491609978197,0.0599573702454619,0.0792225638020321,0.0946768859392659,0.13454585637486,"TTBirthRate.2",29
0.00434229232143381,0.006235538142709,0.00794042560946332,0.00909311500748339,0.0128378938480355,"TTSamplingRate",29
0.0336327807097201,0.0474515905207185,0.0546068092657019,0.0609529703173382,0.0788505835712154,"TTOmegaRate",29
40,61,83,93,140,"HistorySizes",29
1.33999473896108,1.54549541792952,1.72643859500762,1.8238419678063,2.2113226386134,"R0.1",29
0.333817818968499,0.593968948739629,0.720487331632717,0.875245890667544,1.1449055650128,"R0.2",29
-96.1368316715104,-93.3398787685011,-92.6437697291897,-91.470282085641,-90.6052281496581,"posterior",30
0.142581779940843,0.177280176931454,0.198214719732468,0.217754165468323,0.257812749380828,"TTBirthRate.1",30
0.0799990154278266,0.113874761250068,0.154125056580065,0.168491903681516,0.244619810551179,"TTBirthRate.2",30
0.00358373408364601,0.00737031779095619,0.010818130763647,0.0123476409534459,0.0199191170663655,"TTSamplingRate",30
0.0366363684458912,0.0527590252711856,0.0684734239975351,0.0762203829921734,0.104853057616626,"TTOmegaRate",30
18,30,49,54,96,"HistorySizes",30
0.95858640694162,1.26260822259864,1.56616648872611,1.70652753509325,2.23938267830728,"R0.1",30
0.674653524156998,0.95378815355954,1.22016967507161,1.37434179339117,1.83319906712971,"R0.2",30
-108.547499942594,-105.331126569202,-104.812792882424,-103.57101958447,-102.894985054044,"posterior",31
0.177294854783265,0.211840584160331,0.226660914906165,0.243204918856961,0.272410945473429,"TTBirthRate.1",31
0.0326525571964048,0.0614511059992384,0.0794899033616445,0.0964785170563583,0.133305641222233,"TTBirthRate.2",31
0.00382137433076888,0.00610012263096048,0.00831514032876136,0.00937801238815157,0.0137635728646894,"TTSamplingRate",31
0.0262116100257589,0.0355815244528689,0.044950868761396,0.0498625913712287,0.067621543380506,"TTOmegaRate",31
34,58,89,99,156,"HistorySizes",31
1.57973258940827,1.89666611364566,2.25990715072749,2.43286393221609,3.14442927798667,"R0.1",31
0.366800133466841,0.629074685589683,0.798790632457633,0.966119244474895,1.25827021997938,"R0.2",31
-109.112518951421,-105.917539369314,-105.532861911133,-104.22769786037,-103.525106444335,"posterior",32
0.146977571089595,0.177619628033897,0.203445332048433,0.214108324552073,0.262104902509402,"TTBirthRate.1",32
0.0653485915211393,0.105775863089166,0.130293996261543,0.15295950044399,0.204760710286903,"TTBirthRate.2",32
0.00516439236176887,0.00873201661606491,0.0115374818122874,0.0135413608200925,0.0210144171999907,"TTSamplingRate",32
0.031522898040086,0.0482574319660809,0.060618411893983,0.0691318357123673,0.0946520184918182,"TTOmegaRate",32
17,28,51,54,100,"HistorySizes",32
1.03436087016233,1.46493088914009,1.72622480915888,1.93828684365082,2.40726808509912,"R0.1",32
0.590657031959291,0.950278085900392,1.08623168694747,1.31095783643327,1.65755556434933,"R0.2",32
-126.659728361133,-123.418297140412,-123.070778490552,-121.635281223601,-120.894463148302,"posterior",33
0.109050124444149,0.139049491393331,0.152662861807029,0.168209269236803,0.196559949466507,"TTBirthRate.1",33
0.0242892948715992,0.0747210346681785,0.0981960979435306,0.124152650484827,0.168416786777931,"TTBirthRate.2",33
0.00451771177425564,0.00721112380571902,0.0107545876289074,0.0121085054740532,0.0190252069776794,"TTSamplingRate",33
0.0260683573714539,0.0345843048455886,0.046328178658955,0.0499487290245436,0.0706705989496299,"TTOmegaRate",33
9,19,33,38,73,"HistorySizes",33
0.975241953795909,1.22993585425656,1.47855039427126,1.59936506722224,2.01991737727185,"R0.1",33
0.222435899048852,0.638271078393632,0.948080962557507,1.10194996241894,1.58952071810387,"R0.2",33
